Dimension,1a Trauma-clinical,1b Psychoanalytic,1c Humanistic-existential,1d Neuroscience,2 Naturalistic,3 Counterpoint,4 Practitioner,5 Client narratives,6 Memoirs,Convergence
1. Duration,4+,4+,4+,4+,4+,4+,4+,4+,4+,9/9
2. Trajectory,4+,4+,4+,4+,4+,4+,4+,4+,4+,9/9
3. Turning points,4+,1,2-3,4+,0,2-3,4+,4+,4+,8/9
4. Healing definitions,4+,4+,4+,4+,4+,4+,4+,4+,4+,9/9
5. Surprises,2-3,1,0,0,4+,4+,4+,4+,2-3,7/9
6. Dropout,2-3,1,1,0,2-3,4+,1,4+,0,7/9
7. Access,2-3,2-3,2-3,1,1,2-3,4+,4+,4+,9/9
8. Sleeper effect,0,1,0,0,4+,4+,2-3,2-3,2-3,6/9
9. Developmental mechanism,4+,4+,1,4+,0,2-3,4+,4+,2-3,8/9
10. Endpoint divergence,4+,4+,4+,4+,4+,4+,4+,4+,4+,9/9
11. Safety as clock-starter,4+,2-3,4+,4+,1,2-3,4+,4+,4+,9/9
12. Continuity,4+,4+,2-3,4+,1,0,4+,4+,4+,8/9
13. Modality,4+,4+,4+,4+,2-3,4+,4+,4+,4+,9/9
14. Therapist,4+,4+,2-3,4+,0,2-3,4+,4+,4+,8/9
15. Frequency,1,2-3,2-3,0,4+,4+,4+,4+,2-3,8/9
16. Phase structure,4+,4+,4+,4+,1,4+,4+,4+,4+,9/9
17. Adjuncts,4+,4+,2-3,4+,2-3,4+,4+,4+,4+,9/9
