Counterpoint finding,Source,What it measures,Endpoint level,Contradicts long-duration thesis?
88% CPTSD remission after 8-day intensive EMDR,de Jongh 2024,ITQ below diagnostic threshold,Level 1 (symptom),"No — measures diagnostic remission, not structural change"
d=1.57 in 1–3 week intensive delivery,Sciarrino 2020,Symptom questionnaire scores,Level 1 (symptom),No — large effect on symptoms; no structural measures
67% lost PTSD diagnosis after 18 weeks MDMA-assisted therapy,Mitchell 2021,CAPS-5 below threshold,Level 1 (symptom),"No — PTSD diagnosis loss, not CPTSD structural endpoints"
d=1.9 ketamine-enhanced exposure in 3 weeks,Feder 2025,CAPS-5 scores,Level 1 (symptom),No — pharmacological enhancement of symptom processing; no structural measures
CPTSD + BPD resolved in 10 sessions / 5 weeks,de Jongh 2023,Diagnostic remission (single case),Level 1 (symptom),"No — single case, symptom measures. Farina: such quick good outcomes cases are rare"
ISTDP mean 8.3 sessions for GAD,Lilliengren 2017,Anxiety symptoms,Level 1 (symptom),"No — GAD, not complex developmental trauma"
EDT non-significant post-treatment; significant at follow-up,Lilliengren 2025,Various symptom + interpersonal,Level 1-2,No — actually supports thesis (sleeper effect pattern)
PAT outperformed CBT at 5-year follow-up,Leuzinger-Bohleber (via MIA),Chronic depression + childhood trauma,Level 2-3,No — supports thesis (longer treatment advantage at follow-up)
BPD remits gradually over 24 years (natural course),Paris 2020,"Diagnostic criteria, functional status",Level 1-2,"Partially — natural course accounts for some improvement, but measures symptoms not structure"
"Helsinki convergence: 646 vs 232 sessions, equivalent 10-year outcomes",Lindfors 2019,"Personality organisation, defence style, self-concept",Level 3 (structural),"Complicates, does not refute — both exceeded transmuting internalisation threshold; supports elapsed-time factor"
TAU received more services but worse outcomes than MBT,Bateman & Fonagy 2008,BPD diagnostic criteria + functional status,Level 2-3,No — supports thesis (coherent model matters more than quantity)
Rapid good outcomes cases are rare (clinician judgment),Farina 2025,Clinician judgment,N/A,Supports thesis — rapid responders may have different structural depth
Neuroscientific foundations debunked (triune brain; polyvagal),Tilson 2025,Scientific validity of explanatory frameworks,N/A,"Challenges mechanism, not finding — clinical convergence holds regardless of neuroscience"
